GNPSLinkout_Cluster,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,cluster index,componentindex,number of spectra,parent mass,precursor charge,precursor mass,sum(precursor intensity),INCHI
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""37"",""main.cluster index_upperinput"":""37""}",cis-13-Docosenoic acid,0.933603,8.4081,8.4081,0,CCMSLIB00003721898,147401.3309,147,37,188,147,321.3144,1,321.3144,147401.3309,"InChI=1S/C22H42O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H,23,24)/b10-9-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""19412"",""main.cluster index_upperinput"":""19412""}","3,5-Di-tert-butyl-4-hydroxybenzoic acid",0.932372,5.6003,5.6003,0,CCMSLIB00003464348,8684.44943,147,19412,-1,147,251.1635,1,251.1635,8684.44943,"InChI=1S/C15H22O3/c1-14(2,3)10-7-9(13(17)18)8-11(12(10)16)15(4,5)6/h7-8,16H,1-6H3,(H,17,18)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24326"",""main.cluster index_upperinput"":""24326""}",Myristoleic acid,0.931867,8.341,8.341,0,CCMSLIB00003478791,21321.9083,147,24326,188,147,209.1896,1,209.1896,21321.9083,"InChI=1S/C14H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h5-6H,2-4,7-13H2,1H3,(H,15,16)/b6-5-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25439"",""main.cluster index_upperinput"":""25439""}",Leukotriene B3,0.929596,7.895,7.895,0,CCMSLIB00003253483,634.117941,147,25439,188,147,191.1791,1,191.1791,634.117941,"InChI=1S/C20H34O4/c1-2-3-4-5-6-9-13-18(21)14-10-7-8-11-15-19(22)16-12-17-20(23)24/h7-8,10-11,14-15,18-19,21-22H,2-6,9,12-13,16-17H2,1H3,(H,23,24)/b8-7+,14-10+,15-11-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24336"",""main.cluster index_upperinput"":""24336""}",Sclareolide,0.929394,8.3519,8.3519,0,CCMSLIB00003566545,10964.94676,147,24336,188,147,191.179,1,191.179,10964.94676,"InChI=1S/C16H26O2/c1-14(2)7-5-8-15(3)11(14)6-9-16(4)12(15)10-13(17)18-16/h11-12H,5-10H2,1-4H3/t11-,12+,15-,16+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""14417"",""main.cluster index_upperinput"":""14417""}",N-.alpha.-Acetyl-L-arginine,0.927655,0.3924,0.3924,0,CCMSLIB00003201654,4930.902525,144,14417,2019,144,217.1293,1,217.1293,4930.902525,"InChI=1S/C8H16N4O3/c1-5(13)12-6(7(14)15)3-2-4-11-8(9)10/h6H,2-4H2,1H3,(H,12,13)(H,14,15)(H4,9,10,11)/t6-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9963"",""main.cluster index_upperinput"":""9963""}",Decamethylcyclopentasiloxane,0.925686,7.3095,7.3095,0,CCMSLIB00003271045,8187.356041,147,9963,1131,147,371.1006,1,371.1006,8187.356041,"InChI=1S/C10H30O5Si5/c1-16(2)11-17(3,4)13-19(7,8)15-20(9,10)14-18(5,6)12-16/h1-10H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9251"",""main.cluster index_upperinput"":""9251""}",Spectral Match to Dioctyl sulfosuccinate from NIST14,0.925213,8.454,8.454,0,CCMSLIB00003136900,5340.128692,147,9251,-1,147,467.2041,1,467.2041,5340.128692,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""76143"",""main.cluster index_upperinput"":""76143""}",N-.alpha.-Acetyl-L-arginine,0.924415,0.3587,0.3587,0,CCMSLIB00003201654,4845.900792,144,76143,2019,144,217.1293,1,217.1293,4845.900792,"InChI=1S/C8H16N4O3/c1-5(13)12-6(7(14)15)3-2-4-11-8(9)10/h6H,2-4H2,1H3,(H,12,13)(H,14,15)(H4,9,10,11)/t6-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1816"",""main.cluster index_upperinput"":""1816""}","1,4a-dimethyl-9-oxo-7-propan-2-yl-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid",0.924152,4.7886,4.7886,0,CCMSLIB00004699026,1158.510282,147,1816,881,147,315.1583,1,315.1583,1158.510282,"InChI=1S/C20H26O3/c1-12(2)13-6-7-15-14(10-13)16(21)11-17-19(15,3)8-5-9-20(17,4)18(22)23/h6-7,10,12,17H,5,8-9,11H2,1-4H3,(H,22,23)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3780"",""main.cluster index_upperinput"":""3780""}",Spectral Match to Hexaethylene glycol from NIST14,0.92384,7.3809,7.3809,0,CCMSLIB00003134614,1374.375941,139,3780,1152,139,283.1743,1,283.1743,1374.375941,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""30257"",""main.cluster index_upperinput"":""30257""}",Decamethylcyclopentasiloxane,0.921537,8.9915,8.9915,0,CCMSLIB00003271045,5840.699032,147,30257,1131,147,371.1006,1,371.1006,5840.699032,"InChI=1S/C10H30O5Si5/c1-16(2)11-17(3,4)13-19(7,8)15-20(9,10)14-18(5,6)12-16/h1-10H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24"",""main.cluster index_upperinput"":""24""}",.beta.-D-Glucose,0.921144,0.3326,0.3326,0,CCMSLIB00003225282,263735.762,147,24,383,147,180.0862,1,180.0862,263735.762,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""14591"",""main.cluster index_upperinput"":""14591""}",Tyr-Trp,0.920284,2.6224,2.6224,0,CCMSLIB00003728635,2354.678773,143,14591,536,143,368.1619,1,368.1619,2354.678773,"InChI=1S/C20H21N3O4/c21-16(9-12-5-7-14(24)8-6-12)19(25)23-18(20(26)27)10-13-11-22-17-4-2-1-3-15(13)17/h1-8,11,16,18,22,24H,9-10,21H2,(H,23,25)(H,26,27)/t16-,18-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""82775"",""main.cluster index_upperinput"":""82775""}",Palmitoleic acid ethyl ester,0.920273,6.8845,6.8845,0,CCMSLIB00003354430,2190.411322,147,82775,188,147,237.2209,1,237.2209,2190.411322,"InChI=1S/C18H34O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h9-10H,3-8,11-17H2,1-2H3/b10-9-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""50782"",""main.cluster index_upperinput"":""50782""}",Oleic acid methyl ester,0.920199,7.9353,7.9353,0,CCMSLIB00003627949,1558.591276,147,50782,188,147,247.2415,1,247.2415,1558.591276,"InChI=1S/C19H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h10-11H,3-9,12-18H2,1-2H3/b11-10-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""21357"",""main.cluster index_upperinput"":""21357""}",Spectral Match to N.epsilon.-Acetyl-L-lysine from NIST14,0.92002,0.3877,0.3877,0,CCMSLIB00003137929,16577.76998,147,21357,104,147,189.1228,1,189.1228,16577.76998,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1620"",""main.cluster index_upperinput"":""1620""}",cis-13-Eicosenoic acid,0.919421,7.9835,7.9835,0,CCMSLIB00003721992,1586.254046,147,1620,188,147,275.2726,1,275.2726,1586.254046,"InChI=1S/C20H38O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h7-8H,2-6,9-19H2,1H3,(H,21,22)/b8-7-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2478"",""main.cluster index_upperinput"":""2478""}",7-Keto-8-aminopelargonic acid,0.918366,2.0187,2.0187,0,CCMSLIB00003228236,7232.316309,147,2478,2027,147,188.1282,1,188.1282,7232.316309,"InChI=1S/C9H17NO3/c1-7(10)8(11)5-3-2-4-6-9(12)13/h7H,2-6,10H2,1H3,(H,12,13)/t7-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""88"",""main.cluster index_upperinput"":""88""}",Palmitamide,0.915587,7.3281,7.3281,0,CCMSLIB00003308962,77779.09326,147,88,400,147,256.263,1,256.263,77779.09326,"InChI=1S/C16H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H2,17,18)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10964"",""main.cluster index_upperinput"":""10964""}",Yersiniabactin,0.915518,8.2917,8.2917,0,CCMSLIB00005435756,1360.637633,114,10964,-1,114,482.1228,1,482.1228,1360.637633, 
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""13942"",""main.cluster index_upperinput"":""13942""}",Tyr-Trp,0.914398,2.7857,2.7857,0,CCMSLIB00003728635,6165.235341,145,13942,536,145,368.1597,1,368.1597,6165.235341,"InChI=1S/C20H21N3O4/c21-16(9-12-5-7-14(24)8-6-12)19(25)23-18(20(26)27)10-13-11-22-17-4-2-1-3-15(13)17/h1-8,11,16,18,22,24H,9-10,21H2,(H,23,25)(H,26,27)/t16-,18-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9372"",""main.cluster index_upperinput"":""9372""}","D-Gluconic acid, .delta.-lactone",0.913381,0.3422,0.3422,0,CCMSLIB00003195329,2330.706877,142,9372,-1,142,179.0546,1,179.0546,2330.706877,"InChI=1S/C6H10O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-5,7-10H,1H2/t2-,3-,4+,5-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""17840"",""main.cluster index_upperinput"":""17840""}","1,2-Dioleoyl-sn-glycero-3-phosphoethanolamine",0.909693,10.1931,10.1931,0,CCMSLIB00003268508,163.0732174,68,17840,346,68,766.5352,1,766.5352,163.0732174,"InChI=1S/C41H78NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17-20,39H,3-16,21-38,42H2,1-2H3,(H,45,46)/b19-17-,20-18-/t39-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1127"",""main.cluster index_upperinput"":""1127""}",1-Palmitoylglycerol,0.909256,7.5208,7.5208,0,CCMSLIB00003446867,3418.060738,147,1127,1962,147,313.2729,1,313.2729,3418.060738,"InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-17-18(21)16-20/h18,20-21H,2-17H2,1H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""29897"",""main.cluster index_upperinput"":""29897""}",1-Oleoyl-sn-glycero-3-phosphoethanolamine,0.906198,6.2548,6.2548,0,CCMSLIB00003267907,2004.28919,129,29897,188,129,480.3079,1,480.3079,2004.28919,"InChI=1S/C23H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h9-10,22,25H,2-8,11-21,24H2,1H3,(H,27,28)/b10-9-/t22-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1287"",""main.cluster index_upperinput"":""1287""}",Lauric acid diethanolamide,0.905982,4.7658,4.7658,0,CCMSLIB00003708494,7566.32093,147,1287,136,147,288.2529,1,288.2529,7566.32093,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10846"",""main.cluster index_upperinput"":""10846""}",Yersiniabactin,0.90434,7.8246,7.8246,0,CCMSLIB00005435756,1326.406467,126,10846,49,126,482.123,1,482.123,1326.406467, 
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24433"",""main.cluster index_upperinput"":""24433""}",Spectral Match to (R)-(+)-Citronellic acid from NIST14,0.904192,4.8365,4.8365,0,CCMSLIB00003139419,8886.072379,147,24433,188,147,153.1272,1,153.1272,8886.072379,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""449"",""main.cluster index_upperinput"":""449""}",Linoleoylglycine,0.90151,7.0619,7.0619,0,CCMSLIB00003483814,10602.74011,147,449,188,147,263.2365,1,263.2365,10602.74011,"InChI=1S/C20H35NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19(22)21-18-20(23)24/h6-7,9-10H,2-5,8,11-18H2,1H3,(H,21,22)(H,23,24)/b7-6-,10-9-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1364"",""main.cluster index_upperinput"":""1364""}",Pantothenic acid,0.901427,2.208,2.208,0,CCMSLIB00003460420,3961.996984,147,1364,-1,147,202.1074,1,202.1074,3961.996984,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""489"",""main.cluster index_upperinput"":""489""}",all trans-Retinal,0.900312,6.4437,6.4437,0,CCMSLIB00003471328,8588.056625,147,489,36,147,161.0958,1,161.0958,8588.056625,"InChI=1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6+,12-11+,16-8+,17-13+"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9565"",""main.cluster index_upperinput"":""9565""}",12(S)-Hydroxy-16-heptadecynoic acid,0.8997,5.7991,5.7991,0,CCMSLIB00003321059,3689.161083,147,9565,188,147,265.2156,1,265.2156,3689.161083,"InChI=1S/C17H30O3/c1-2-3-10-13-16(18)14-11-8-6-4-5-7-9-12-15-17(19)20/h1,16,18H,3-15H2,(H,19,20)/t16-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""12438"",""main.cluster index_upperinput"":""12438""}",1-palmitoyl-2-linoleoyl-sn-glycero-3-phospho-(1'-rac-glycerol),0.892631,10.1535,10.1535,0,CCMSLIB00003377263,339.6495988,94,12438,346,94,769.498,1,769.498,339.6495988,"InChI=1S/C40H75O10P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-40(44)50-38(36-49-51(45,46)48-34-37(42)33-41)35-47-39(43)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13,17-18,37-38,41-42H,3-10,12,14-16,19-36H2,1-2H3,(H,45,46)/b13-11-,18-17-/t37?,38-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24418"",""main.cluster index_upperinput"":""24418""}",Spectral Match to cis-9-Hexadecenoic acid from NIST14,0.892526,7.5111,7.5111,0,CCMSLIB00003136507,14800.39481,147,24418,188,147,255.2314,1,255.2314,14800.39481,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""6129"",""main.cluster index_upperinput"":""6129""}",Contaminant vial septum ThermoFisher C5000-44B,0.890716,9.0806,9.0806,0,CCMSLIB00005435821,4885.755956,130,6129,82,130,686.1811,1,686.1811,4885.755956, 
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""4603"",""main.cluster index_upperinput"":""4603""}",(+)-Blebbistatin,0.89057,3.4642,3.4642,0,CCMSLIB00003426058,4314.849061,147,4603,36,147,146.0598,1,146.0598,4314.849061,"InChI=1S/C18H16N2O2/c1-12-7-8-15-14(11-12)16(21)18(22)9-10-20(17(18)19-15)13-5-3-2-4-6-13/h2-8,11,22H,9-10H2,1H3/t18-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25645"",""main.cluster index_upperinput"":""25645""}",Oleamide,0.88985,5.782,5.782,0,CCMSLIB00003308634,896.4326204,109,25645,100,109,282.3151,1,282.3151,896.4326204,"InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)/b10-9-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""16864"",""main.cluster index_upperinput"":""16864""}",Spectral Match to Thr-Leu from NIST14,0.889206,2.0092,2.0092,0,CCMSLIB00003140084,692.3275709,142,16864,-1,142,233.1492,1,233.1492,692.3275709,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24414"",""main.cluster index_upperinput"":""24414""}",Decamethylcyclopentasiloxane,0.888238,9.8195,9.8195,0,CCMSLIB00003271044,4117.171062,147,24414,1131,147,371.1006,1,371.1006,4117.171062,"InChI=1S/C10H30O5Si5/c1-16(2)11-17(3,4)13-19(7,8)15-20(9,10)14-18(5,6)12-16/h1-10H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9512"",""main.cluster index_upperinput"":""9512""}",Triphenyl phosphate,0.886867,8.5644,8.5644,0,CCMSLIB00003577341,2282.639316,145,9512,937,145,327.0774,1,327.0774,2282.639316,"InChI=1S/C18H15O4P/c19-23(20-16-10-4-1-5-11-16,21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""322"",""main.cluster index_upperinput"":""322""}",Spectral Match to Allopurinol from NIST14,0.886723,2.0661,2.0661,0,CCMSLIB00003138313,22688.21683,139,322,1905,139,137.0457,1,137.0457,22688.21683,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9423"",""main.cluster index_upperinput"":""9423""}",Spectral Match to Leu-Phe from NIST14,0.88588,2.9476,2.9476,0,CCMSLIB00003134995,17638.72735,147,9423,-1,147,279.1699,1,279.1699,17638.72735,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1055"",""main.cluster index_upperinput"":""1055""}",Contaminant vial septum ThermoFisher C5000-44B,0.885274,8.2227,8.2227,0,CCMSLIB00005435823,22325.97965,147,1055,82,147,628.1938,1,628.1938,22325.97965, 
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""14299"",""main.cluster index_upperinput"":""14299""}",Spectral Match to Dioctyl sulfosuccinate from NIST14,0.880189,8.4477,8.4477,0,CCMSLIB00003136961,1331.941222,147,14299,1273,147,445.2219,1,445.2219,1331.941222,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""98432"",""main.cluster index_upperinput"":""98432""}",Palmitelaidic acid,0.879915,7.5335,7.5335,0,CCMSLIB00003302558,12438.61421,147,98432,188,147,255.2313,1,255.2313,12438.61421,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7+"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""61824"",""main.cluster index_upperinput"":""61824""}",Spectral Match to Tyr-Val from NIST14,0.878405,2.0741,2.0741,0,CCMSLIB00003137604,2149.999329,144,61824,16,144,281.1491,1,281.1491,2149.999329,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""7841"",""main.cluster index_upperinput"":""7841""}",Spectral Match to Phe-Val from NIST14,0.877467,2.5543,2.5543,0,CCMSLIB00003137478,5410.220866,146,7841,-1,146,265.154,1,265.154,5410.220866,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9531"",""main.cluster index_upperinput"":""9531""}",Arg-Leu,0.877209,0.6956,0.6956,0,CCMSLIB00003736763,6650.069423,141,9531,93,141,288.2023,1,288.2023,6650.069423,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10459"",""main.cluster index_upperinput"":""10459""}","(1S,3R,4S,5R)-4-{[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy}-1,3,5-trihydroxycyclohexane-1-carboxylic acid",0.875529,7.3101,7.3101,0,CCMSLIB00004715877,3796.575995,147,10459,1131,147,355.0692,1,355.0692,3796.575995,"InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(21)25-14-11(19)6-16(24,15(22)23)7-12(14)20/h1-5,11-12,14,17-20,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""59273"",""main.cluster index_upperinput"":""59273""}",Myristoleic acid,0.8752,7.8595,7.8595,0,CCMSLIB00003478793,1074.130575,147,59273,188,147,209.1897,1,209.1897,1074.130575,"InChI=1S/C14H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h5-6H,2-4,7-13H2,1H3,(H,15,16)/b6-5-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""14348"",""main.cluster index_upperinput"":""14348""}",Tyr-Phe,0.875173,2.6786,2.6786,0,CCMSLIB00003737871,3196.575787,144,14348,16,144,329.1487,1,329.1487,3196.575787,"InChI=1S/C18H20N2O4/c19-15(10-13-6-8-14(21)9-7-13)17(22)20-16(18(23)24)11-12-4-2-1-3-5-12/h1-9,15-16,21H,10-11,19H2,(H,20,22)(H,23,24)/t15-,16-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3555"",""main.cluster index_upperinput"":""3555""}",cyclo(L-Val-L-Pro),0.874713,2.5769,2.5769,0,CCMSLIB00000007145,3695.408654,147,3555,245,147,197.1282,1,197.1282,3695.408654,N/A
